novel_id	novel_title	novel_author	novel_schoool	novel_page	novel_type	novel_story	novel_image
11	아몬드	손원평	1	223	일상	주인공 ‘윤재’는 감정을 느끼는 데 어려움을 겪는 독특한 캐릭터다. 다른 사람의 말과 행동의 이면을 읽어 내지 못하고 공포도 분노도 잘 느끼지 못하는세상을 곧이곧대로만 보는 아이, ‘괴물’이라고 손가락질받던 윤재는 어느 날 비극적인 사건을 맞아 가족을 잃게 되면서 이 세상에 홀로 남는다.그런데 모든 것을 잃었다고 생각하던 순간에 윤재 곁에 새로운 인연이 다가온다. 어두운 상처를 간직한 아이 ‘곤이’나 그와 반대로 맑은 감성을 지닌 아이 ‘도라’, 윤재를 돕고 싶어 하는 ‘심 박사’ 등이 그러한 인물들이다. 윤재와 이들 사이에서 펼쳐지는 이야기는 우리로 하여금 타인의 감정을 이해한다는 것이 얼마나 어려운지, 그럼에도 얼마나 소중한 일인지 다시 한번 생각해 보게 한다.	./image/novel/아몬드.png
12	죽이고 싶은 아이	이꽃님	0	196	일상	소설의 주인공인 주연과 서은은 둘도 없는 단짝 친구다. 두 사람이 크게 싸운 어느 날, 학교 건물 뒤 공터에서 서은이 시체로 발견되고 가장 유력한 용의자로 주연이 체포된다. 그런데 어찌 된 일인지 주연은 그날의 일이 도무지 기억나지 않는다. 주연은 정말 서은을 죽였을까? 이야기는 주연과 서은에 대해 증언하는 열일곱 명의 인터뷰와 주연의 주변 인물들의 이야기가 교차되는 독특한 방식으로 전개된다. 인터뷰이에 따라 주연과 서은이 어떤 아이였는지, 둘의 관계는 어땠는지가 시시각각 변모해 간다. 반전에 반전을 거듭하며 독자를 혼란에 빠뜨리는 예측 불가능한 전개는 독자들에게 끝까지 책을 손에서 놓지 못하게 하는 엄청난 몰입감을 선사한다.	./image/novel/죽이고 싶은 아이.png
13	가시고기	조창인	0	208	일상	아버지의 사랑은 어떤 모습일까? 어머니의 사랑은 수없이 그려져 왔고, 공감을 불러오기에 의문이 없다. 그러나 아버지의 사랑이 어떤 모습일지 표현하기는 어렵다. 이 책은 아버지의 사랑을 가늠하게 해준다. 속내를 드러내지 않지만, 깊은 곳에 감춰진 숭고한 자기희생의 사랑. 그래서 더 슬프고 아름다운 아버지의 사랑이다. 삶의 전부인 아들은 백혈병에 걸렸다. 게다가 골수이식이 아니면 더 이상 희망이 없다. 아들을 위한 최선은 무엇일까. 아들을 살릴 수만 있다면 내 몸은 뜯어 먹혀도 좋은 가시고기 아빠의 숭고한 사랑이 책 속에 담겨있다.	./image/novel/가시고기.png
14	아버지의 해방일지	정지아	1	268	일상	소설은 ‘전직 빨치산’ 아버지의 죽음 이후 3일간의 시간만을 현재적 배경으로 다루지만, 장례식장에서 얽히고설킨 이야기를 따라가다보면 해방 이후 70년 현대사의 질곡이 생생하게 드러난다. 이러한 웅장한 스케일과 함께 손을 놓을 수 없는 몰입감을 동시에 안겨주는 것은 정지아만이 가능한 서사적 역량이다. 그러나 이 소설의 진정한 묘미는 어쩌면 ‘가벼움’에 있다. “아버지가 죽었다. 이런 젠장”으로 시작하는 첫 챕터에서 독자들은 감을 잡겠지만 이 책은 진중한 주제의식에도 불구하고 ‘각 잡고’ 진지한 소설이 아니다. 남도의 구수한 입말로 풀어낸 일화들은 저마다 서글프지만 피식피식 웃기고, “울분이 솟다 말고 ‘긍게 사람이제’ 한마디로 가슴이 따뜻해진다.	./image/novel/아버지의 해방일지.png
15	가짜 모범생	손현주	1	200	일상	일란성 쌍둥이 형 건휘는 전교 1등 영재 코스를 밟아왔지만, 성적과 스펙에 집착하는 엄마와 계속 다투는게 일상이다. 스트레스가 쌓여 건휘는 게임에서 아이의 목을 조르고, 아이가 병원에 실려갔다. 건휘는 현장에서 도망쳤고 엄마는 동생에게 죄를 덮어씌우라고 말한다. 그러던 어느 날, 건휘가 죽으면서 엄마의 집착은 선휘에게 옮겨갔다. 선휘는 은빈와 사귀면서 자유로운 삶을 갈망한다. 끝이 보이지 않는 엄마의 집착과 선휘의 아슬아슬한 줄타기, 그 끝에 자신의 세계를 지켜나갈 수 있을까?	./image/novel/가짜 모범생.png
16	지구에서 한아뿐	정세랑	1	228	로맨스	외계인 경민과 지구인 한아의 아주 희귀한 종류의 사랑 이야기 『지구에서 한아뿐』. '환생'이라는 작은 옷 수선집을 운영하며 누군가의 이야기와 시간이 담긴 옷에 작은 새로움을 더해주곤 하는 한아에게는 스무 살 때부터 좋아한, 만난 지 11년 된 남자친구 경민이 있다. 늘 익숙한 곳에 머무르려 하는 한아와 달리 자유분방하게 살아가는 경민은 이번 여름에도 혼자 유성우를 보러 캐나다로 훌쩍 떠나버린다. 자신의 사정을 고려해주지 않는 경민이 늘 서운했지만 체념이라고 부르는 애정도 있는 것이라 생각하던 때, 캐나다에 운석이 떨어져 소동이 벌어지고, 경민은 무사히 돌아왔지만 어딘지 미묘하게 낯설어졌다. 팔에 있던 커다란 흉터가 사라졌는가 하면 그렇게나 싫어하던 가지무침도 맛있게 먹는다. 그리고 무엇보다도 한아를 늘 기다리게 했던 그였는데 이제는 매순간 한아에게 집중하며 조금 더 함께 있는 듯한 기분을 준다. 달라진 경민의 모습과 수상한 행동이 의심스러운 한아는 무언가가 잘못되어간다고 혼란에 빠지는데...	./image/novel/지구에서 한아뿐.jpg
17	사서함 110호의 우편물	이도우	1	512	로맨스	"네 사랑이 무사하기를, 내 사랑도 무사하니까" 사회에서 흔히 볼 수 있는 평범한 어른들과 다르지 않게 외로움과 함께하는 그들이 있다. 라디오 프로그램 작가 '공진솔'과 피디 및 시인 '이건'. 연애의 감정에 큰 관심이 없었던 공진솔은 어느새, 함께 일하는 이건에게 같은 일을 하는 사람 이상의 감정을 느끼게 된다. 허나 공진솔과는 다르게 이건은 복잡한 개인 감정에 휩쓸리고 만다. 이건이 오래전부터 이어오던 짝사랑 '애리', 그녀와 연인으로 지내고 있는 이건의 절친 '선우'. 그들은 오랜기간 동안 연인 관계로 지내왔지만, 편견에 얽매이지 않고 자유롭게 지내는 선우가 못마땅한 애리의 엄마. 애리의 엄마의 반대에 선우는 그만 애리에게 이별을 권고한다. 그 상황을 알게 된 이건은 애리에게 "차라리 나에게 와라."며 솔직한 마음을 고백하는데... 그 장소엔 이건을 짝사랑하던 공진솔이 있었다. 이렇듯 얽히고 얽힌 사랑이야기.	./image/novel/사서함 110호의 우편물.jpg
18	날씨가 좋으면 찾아가겠어요	이도우	0	432	로맨스	미대입시학원에서 그림을 가르치던 해원은 학생과의 불화를 계기로 일을 그만두고 펜션을 운영하는 이모 곁에서 한동안 지내기로 한다. 열다섯 살 그 일 이후로 사람에게 기대한 적이 없었던 해원은 언젠가부터 사람을 그리는 것이 싫어 인물화를 그리지 않는다. 한편 노부부가 살던 낡은 기와집을 작은 서점 굿나잇책방으로 바꾸어 운영하고 있는 은섭은 자신의 서점을 기웃거리는 해원을 보고 놀란다. 삼 년 전 은섭에게 겨울 들판에 뒹구는 ‘마시멜로’의 진짜 이름이 뭐냐고 묻던 이웃집 그녀다. 이모를 통해 그 낯선 서점의 책방지기가 옆집 사는 은섭이라는 것을 알게 된 해원은 굿나잇책방으로 향한다. 그리고 그녀가 머물 겨울 동안 책방 매니저 아르바이트를 하기로 한다. 어린 시절 타인에게 신경을 곤두세우며 살았다고 생각했지만 알고 보니 자기에만 매몰되어 있었던 해원은 은섭과 같은 중고등학교를 나왔지만 그를 잘 모른다. 해원이 알고 있던 것보다 은섭이 그녀의 인생 어떤 페이지에 더 많이 등장했었다는 사실도...	./image/novel/날씨가 좋으면 찾아가겠어요.jpg
19	냉정과 열정 사이	에쿠니 가오리	1	248	로맨스	지구가 멸망하지 않은 한, 영원히 반복될 남자와 여자의 사랑이야기『냉정과 열정 사이(Rosso)』. 저녁나절이면 기우는 햇살을 받으며 욕조에 목욕물을 받는 여자가 있다. 한적한 시간이면 엷은 칵테일을 마시며 책을 읽는 여자. 푸근한 우정을 나누는 친구가 있고, 모락모락 김이 피어오르는 목욕물 앞에서 어깨를 주물러주는 애인의 손길은 듬직하기만 하다. 그러나 마음속 깊이 봉인된 젊은 시절 온 마음을 바쳐 사랑했던 사람과의 옛추억은 그녀를 어떤 가슴에도 안식할 수 없게 한다. 어디에도, 누구에게도 마음을 붙이지 못하는 고독한 여자. 서로를 온전히 사랑하고 이해했던 8년 전 연인과의 과거를 자꾸만 들여다보게 되는 여자. 과거를 밀어내고 조용한 일상에 묻혀보려는 여자, 아오이의 이야기.	./image/novel/냉정과 열정 사이.jpg
20	위저드 베이커리	구병모	1	256	판타지	시간을 되감아 주는 머랭쿠키가 있다면 어떨까? 실연의 상처를 잊게 해 주는 마들렌, 사업이 잘되게 해 주는 머핀이 있다면? 한 입 베어 무는 순간 소원이 이루어지는 ‘마법의 빵’을 만드는 곳이 있다. 파우더처럼 흰 얼굴에 꽁지 머리를 한 마법사 점장이 24시간 불을 켜 놓고 손님을 기다리는 곳, 바로 ‘위저드 베이커리’다. 말을 더듬는 열여섯 살 소년 ‘나’는 가족에게서 도망쳐 동네 빵집인 위저드 베이커리에 숨어든다. 급한 마음에 단골 빵집의 오븐 속으로 뛰어든 소년이 마주한 것은 놀라운 마법의 세계. 평범한 빵집인 줄로만 알았던 그곳은 사람들의 소원을 이루어 주는 특별한 빵을 만드는 마법사의 베이커리였던 것이다. 사과하고 싶은 사람과 화해하게 해 주는 ‘메이킹 피스 건포도 스콘’, 사귀고 싶지 않은 사람을 ‘먹고 떨어지게’ 만드는 ‘노 땡큐 사블레 쇼콜라’, 나 대신 도플갱어가 학교나 회사에 대신 가 주는 ‘도플갱어 피낭시에’ 등 마법사 점장이 제작하는 다종다양한 빵들은 저마다 이채롭고 매력적이다. 한 번쯤 꿈꿔 봤을 법한, 소원을 이루어 주는 빵들을 만나며 독자들은 주인공 소년과 함께 위저드 베이커리의 신비로운 세계로 마법처럼 빠져들게 된다.	./image/novel/위저드베이커리.jpg
21	봉제인형 살인사건	다니엘 콜	0	400	추리	런던의 허름한 아파트에서 신체의 여섯 부위를 꿰매서 이어 붙인 시신 한 구가 발견된다. 각 신체 부위는 서로 다른 사람의 몸에서 가져온 것이므로, 희생자는 총 여섯 명이다. 여섯 명의 희생자가 누구인지, 그들의 공통점은 무엇인지에 대해 어떠한 단서도 없어 수사가 미궁에 빠질 무렵, 또 다른 편지 한 통이 울프 형사에게 전달된다. 편지에는 또 다른 여섯 명의 이름과 날짜가 적혀 있다. 런던 경찰이 봉제인형 살인사건의 희생자들을 추적하는 과정에서 그 누구도 상상할 수 없는 엄청난 비밀이 드러나는데….	./image/novel/봉제인형 살인사건.jpg
22	그리고 아무도 없었다	애거서 크리스티	0	331	추리	1억 부 이상이 팔린 명실공히 최고의 애거서 크리스티 소설이자, 출간 이래 항상 세계에서 가장 많이 팔리고 있는 미스터리 소설! 세계 3대 추리 소설 중의 하나이자, 수없이 많은 영화와 드라마로 제작된 최고의 미스터리이며, 애거서 크리스티 자신이 뽑은 제일 좋아하는 작품 목록의 1위에 올라 있다. 외딴 섬에 저마다 숨기고픈 비밀이 있는 열 명의 손님이 초대를 받는다. 저택의 곳곳에 섬뜩한 내용의 동요 가사가 든 액자가 걸려 있고, 그 동요에 맞춰 10명의 손님들은 차례차례 죽음을 맞이하는데…….	./image/novel/그리고 아무도 없었다.jpg
23	용의자 X의 헌신	히가시노 게이고	0	448	추리	백 퍼센트의 사랑, 백 퍼센트의 헌신... 추리 소설 역사상 가장 처절하고 가장 아름다운 한 편의 서사시. 도쿄 에도가오 인근 한 연립 주택에서 중년 남자가 모녀에 의해 살해된다. 숨진 남자는 여자의 이혼한 두 번째 남편 도가시. 돈을 갈취하기 위해 찾아와 폭력을 휘두르는 그를 모녀가 우발적으로 목 졸라 살해한 것. 여자의 이름은 하나오카 야스코. 한때 술집 호스티스였으나 지금은 도시락 가게에서 일하면서, 첫 남편과의 사이에 낳은 딸 미사토를 키우고 있다. 우연히 사건을 눈치채게 된 옆집 사는 고등학교 수학교사 이시가미가 그녀를 돕겠다고 나선다. 궁지에 빠진 야스코는 그의 제의를 받아들이고, 이전부터 마음속으로 야스코를 깊이 사모해 왔던 이시가미는 완벽범죄 만들기에 나서게 된다. 대학 시절 백 년에 한번 나올까 말까 한 천재라는 소리를 듣던 그는 빈틈없는 알리바이를 만들고, 경찰 심문에 대응하는 요령까지 모녀에게 세세하게 지시하여 경찰의 수사를 혼선에 빠뜨리는데...	./image/novel/용의자 X의 헌신.jpg
